                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8261,                 2.4965,                 1.0627,                 0.3713,                0.15347,                0.11102,                0.05882,                 1.6901,                 1.6384,                 1.0076,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.7322,                 1.6353,                 1.0167,                0.20821,                0.20185,                0.15208,                0.08064,                 1.6818,                 1.4305,                0.99376,              0.0065925,              0.0065925,              0.0065925
                      3,                 1.7539,                  1.559,                 1.0134,                0.25707,                0.21943,                0.17235,                0.09503,                 1.6365,                 1.3922,                0.98643,              0.0097939,              0.0097939,              0.0097939
                      4,                 1.7312,                 1.5028,                 1.0083,                   0.28,                0.22005,                0.18841,                0.10264,                 1.6641,                 1.3609,                 0.9853,               0.009703,               0.009703,               0.009703
                      5,                 1.6843,                 1.4263,                 0.9954,                0.29444,                0.23844,                 0.2127,                0.11643,                 1.5807,                 1.2878,                0.96841,               0.009703,               0.009703,               0.009703
                      6,                 1.6534,                 1.3762,                0.98469,                0.30184,                0.23583,                0.20374,                0.11552,                 1.5996,                 1.2674,                0.96481,               0.009604,               0.009604,               0.009604
                      7,                 1.6244,                 1.3306,                0.97919,                 0.3238,                0.24934,                0.22088,                0.12364,                 1.5538,                 1.2593,                0.96295,               0.009505,               0.009505,               0.009505
                      8,                 1.6084,                 1.2999,                0.97328,                0.31828,                0.24826,                0.22763,                0.12543,                 1.5415,                 1.2377,                0.95452,               0.009406,               0.009406,               0.009406
                      9,                 1.5804,                 1.2722,                0.96747,                0.31306,                0.26837,                0.23481,                0.13044,                 1.5234,                 1.2047,                0.95468,               0.009307,               0.009307,               0.009307
                     10,                 1.5688,                 1.2477,                0.96466,                0.33029,                0.25947,                0.23947,                 0.1356,                 1.5015,                 1.1817,                0.95014,               0.009208,               0.009208,               0.009208
                     11,                 1.5613,                 1.2349,                0.96439,                0.36226,                0.26818,                0.25156,                0.14355,                  1.489,                 1.1672,                0.95078,               0.009109,               0.009109,               0.009109
                     12,                 1.5372,                 1.2089,                0.96113,                0.34306,                0.26326,                0.24176,                0.13533,                 1.4994,                 1.1737,                0.94384,                0.00901,                0.00901,                0.00901
                     13,                 1.5389,                 1.2025,                0.95708,                0.35524,                0.26494,                0.25277,                0.14175,                 1.4753,                 1.1623,                0.94159,               0.008911,               0.008911,               0.008911
                     14,                 1.5329,                 1.1889,                0.95407,                  0.355,                0.27561,                0.25951,                0.14612,                 1.4759,                 1.1364,                0.93957,               0.008812,               0.008812,               0.008812
                     15,                 1.5185,                 1.1717,                0.95225,                0.38439,                0.27488,                0.26333,                0.14986,                 1.4618,                 1.1233,                0.93623,               0.008713,               0.008713,               0.008713
                     16,                  1.512,                 1.1643,                0.95126,                0.36637,                0.28289,                0.26572,                0.15157,                 1.4526,                 1.1107,                0.93776,               0.008614,               0.008614,               0.008614
                     17,                 1.5091,                 1.1563,                0.95005,                0.36265,                0.28871,                0.27087,                0.15273,                 1.4542,                 1.1101,                0.93473,               0.008515,               0.008515,               0.008515
                     18,                 1.5048,                 1.1499,                0.94664,                0.36913,                0.28297,                0.27018,                0.15285,                 1.4458,                 1.1007,                0.93335,               0.008416,               0.008416,               0.008416
